Data,Nazwa Taska,Informacje szczegółowe na temat zmiany,Ilość godzin
2025-11-17,Separacja hashtagów i produktów między wydarzeniami,"Usunięto zaciąganie hashtagów (catalog_tags) i prezentowanych produktów z globalnych danych przy dodawaniu wystawcy do drugiego wydarzenia. Zmiany w 5 endpointach public.js i catalog.js. Każde wydarzenie ma teraz osobne hashtagi i produkty.",4
2025-11-14,System wysyłki email powitalnych do wystawców,Dodano endpoint do masowego wysyłania emaili powitalnych do wystawców przypisanych do wybranego wydarzenia z instrukcjami logowania.,3
2025-11-07,System resetowania haseł dla BIO EXPO i GlobalFood,"Dodano osobne endpointy do resetowania haseł dla wystawców wydarzeń BIO EXPO i GlobalFood, analogicznie do FOOD TECH EXPO.",4
2025-11-06,Masowe resetowanie haseł dla FOOD TECH EXPO,"Implementacja API endpoint do masowego resetowania haseł dla wszystkich wystawców przypisanych do FOOD TECH EXPO, z wysyłką emaili z nowymi hasłami.",5
2025-11-05,Funkcjonalność przypomnienia hasła dla wystawców,"Pełna implementacja systemu przypomnienia hasła dla wystawców w ptak-expo-web: frontend (modal, walidacja), backend (endpoint reset-password), wysyłka emaili, dokumentacja. Poprawiono URL panelu wystawców we wszystkich miejscach.",8
2025-11-05,Wyszukiwarka użytkowników w panelu admin,"Dodano wyszukiwarkę po nazwisku, e-mailu i telefonie w sekcji Użytkownicy panelu administracyjnego. Filtry działają w czasie rzeczywistym.",3
2025-11-05,Automatyczne wykrywanie zmian w ptak-expo-web,Dodano watchPatterns do railway.toml dla automatycznego wykrywania zmian i redeploymentu aplikacji ptak-expo-web.,1
2025-11-04,Upgrade kodów QR do 4-cyfrowych ID wystawców,"System QR kodów zmodyfikowany do obsługi 4-cyfrowych ID wystawców (kompatybilny wstecz z 3-cyfrowymi). Fuzzy matching dla wszystkich wydarzeń, diagnostyka, auto-migracja bazy danych. Naprawiono 143 brakujące kody dostępu.",16
2025-11-03,API endpointy do pobierania e-identyfikatorów PDF,"Dodano endpointy do pobierania pojedynczych e-identyfikatorów PDF oraz pobierania masowego (batch) jako ZIP. Rozszerzona dokumentacja API. Debugging generowania obrazów QR.",8
2025-11-03,Weryfikacja i pobieranie kodów QR,"API do weryfikacji kodów QR zaproszeń, pobierania danych na podstawie QR, logging dla debugowania generowania obrazów QR.",6
2025-10-29,Blokada edycji pola 'Nazwa firmy' w checkliście,Pole 'Nazwa firmy' w checkliście targowej jest teraz tylko do odczytu (nieedytowalne).,1
2025-10-28,Przeprojektowanie słowników w panelu admin,"Kompletne przeprojektowanie UI słowników: inline edycja zamiast pop-upów, lista z paginacją, dopasowanie czcionek, usunięcie nieużywanych funkcji.",8
2025-10-28,Panel administracyjny zaproszeń,"Dodano pełny panel administracyjny do zarządzania zaproszeniami z listą, edycją, filtrowaniem. Przeniesiono do zakładki Baza Danych. Naprawiono routing, UX (stałe menu zakładek, responsywność, błędy 500).",10
2025-10-28,Funkcjonalność edycji użytkowników,"Dodano przycisk Edytuj w tabeli użytkowników, modal edycji z możliwością zmiany wszystkich danych włącznie z hasłem.",4
2025-10-28,Zmiana nazw pól w checkliście,"'Sektory technologiczne' → 'Twoje Hashtag', 'Branże (eventowe)' → 'Sektory branżowe', zamiana kolejności pól.",2
