Faza,Tydzień,Sekcja,Zadanie (Opis),Co odbiera Klient (opis nietechniczny),Koszt (PLN)
Fundamenty,1,Backend/API,"Przygotowanie serwera, bazy danych i podstawowej architektury aplikacji.","Prace przygotowawcze, niewidoczne dla użytkownika, ale kluczowe dla stabilności i bezpieczeństwa projektu (jak fundamenty pod budowę domu).","11 667,00 zł"
,1,Frontend WWW,"Stworzenie szkieletu aplikacji webowej, przygotowanie podstawowych, reużywalnych elementów interfejsu (np. przyciski, pola formularzy).","Techniczne przygotowanie projektu aplikacji webowej. Brak widocznych ekranów, ale stworzona jest baza do dalszych prac.","2 917,00 zł"
,1,Frontend Mobilna,"Stworzenie szkieletu aplikacji mobilnej dla iOS i Android, implementacja podstawowej nawigacji między ekranami.","Techniczne przygotowanie projektu aplikacji mobilnej. Fundamenty, na których budowane będą kolejne funkcje.","2 917,00 zł"
Logowanie i Użytkownicy,2,Backend/API,"Stworzenie mechanizmów do rejestracji, logowania, resetowania hasła oraz zarządzania kontami użytkowników i ich uprawnieniami (admin, wystawca).","Administrator może tworzyć, edytować i usuwać konta użytkowników. Działający system logowania i rejestracji jest gotowy do testów.","11 667,00 zł"
,2,Frontend WWW,"Zakodowanie ekranu logowania, formularza resetu hasła oraz pustego ekranu głównego po zalogowaniu.",Widoczny i działający ekran logowania w wersji na przeglądarki. Użytkownik może się zalogować i zobaczyć główny szkielet panelu.,"2 917,00 zł"
,2,Frontend Mobilna,"Zakodowanie ekranu logowania, formularza resetu hasła oraz pustego ekranu głównego w aplikacji mobilnej.",Widoczny i działający ekran logowania w aplikacji mobilnej. Użytkownik może się zalogować i zobaczyć główny szkielet aplikacji.,"2 917,00 zł"
Zarządzanie Targami i Wystawcami,3,Backend/API,"Stworzenie logiki do dodawania, edytowania, usuwania targów oraz wystawców. Możliwość przypisywania wystawców do konkretnych wydarzeń.","Administrator może tworzyć nowe wydarzenia (np. ""Targi Książki 2025""), dodawać firmy wystawców i przypisywać ich do tych wydarzeń.","11 667,00 zł"
,3,Frontend WWW,"Zakodowanie w panelu administratora interfejsu do zarządzania targami i wystawcami (listy z wyszukiwarką, formularze).",Administrator w panelu webowym widzi i może w pełni obsługiwać sekcje do zarządzania targami oraz firmami wystawców.,"2 917,00 zł"
Portal Dokumentów,4,Backend/API,"Stworzenie mechanizmu do wgrywania, pobierania i zarządzania dokumentami oraz śledzenia, kto i kiedy je zaakceptował.",Gotowa funkcjonalność obiegu dokumentów. Administrator może wgrywać dokumenty (np. regulaminy) i przypisywać je do konkretnych wystawców.,"11 667,00 zł"
,4,Frontend WWW,"Zakodowanie widoku dla wystawcy, gdzie może on zobaczyć listę przypisanych mu dokumentów, pobrać je i oznaczyć jako zaakceptowane lub odrzucone.","Wystawca po zalogowaniu na stronie WWW widzi listę dokumentów do akceptacji, może je pobrać i kliknąć ""Akceptuję"" lub ""Odrzucam"".","2 917,00 zł"
